run_id,arm,run_idx,cv_headway,ewt_min,frr,boycott_rate_pct,revenue_variance
Arm_A_16,Arm_A,16,0.38617085706153664,4.6844751198139845,0.7533514922074837,14.110431304162935,3191465813.5815763
Arm_A_17,Arm_A,17,0.39443859087406075,4.737668137343633,0.7663456895876558,15.237415358058511,2928581831.425854
Arm_A_18,Arm_A,18,0.39581076164560397,4.865840096128719,0.7652230781467664,15.246085336946255,3153457743.210826
Arm_A_19,Arm_A,19,0.397973463032046,4.723510514708198,0.7551076604252585,15.571856116205222,3048295208.509192
Arm_A_20,Arm_A,20,0.3890317271310347,4.815381115106094,0.7514047582004081,14.779904241615045,2951966701.019559
Arm_A_21,Arm_A,21,0.3896622595226352,4.73701536153095,0.7655988785076303,14.496720914181056,2812929168.8656707
Arm_A_22,Arm_A,22,0.3905267669813918,4.962524353239863,0.7742917365619766,15.155826277613656,3006783021.4660153
Arm_A_23,Arm_A,23,0.3841870203624852,4.862239573149011,0.7627208723412044,16.021203249378477,3141144687.2862697
Arm_A_24,Arm_A,24,0.3940514944584518,4.837472649198502,0.7601325077243809,15.123902993063984,3034169868.631371
Arm_A_25,Arm_A,25,0.40142062789065386,4.738244905685558,0.7742820046502172,14.131435801776234,2991471654.8706183
Arm_A_26,Arm_A,26,0.3689541045110024,4.830768285440749,0.760802608488843,15.292115680719437,3504367889.137043
Arm_A_27,Arm_A,27,0.40001236927101574,4.818926832942796,0.7588733498192598,15.769611085891242,2988325198.1713033
Arm_A_28,Arm_A,28,0.38207651781868635,4.881067533143858,0.7627868116885645,14.480814897974971,3105701066.8975673
Arm_A_29,Arm_A,29,0.3850953391183484,4.757541932422782,0.7550184420760646,16.21015749479178,2938522775.72053
Arm_A_30,Arm_A,30,0.4058939836674128,4.8951026004840985,0.7733132918840561,15.16465285311112,3097861927.0637712
Arm_A_31,Arm_A,31,0.38855254633139696,4.821189815408273,0.7647499373747835,15.289137583288772,3067841538.368274
Arm_A_32,Arm_A,32,0.3882613810688538,4.763936019409369,0.7458071858648893,15.084960321072165,3391645585.880336
Arm_A_33,Arm_A,33,0.3962914475031213,4.810593720412427,0.7587255034548969,14.14171078697875,3036177057.5496864
Arm_A_34,Arm_A,34,0.3766089689974018,4.758427618621319,0.7590663563001272,16.07381073623309,3323841857.641525
Arm_A_35,Arm_A,35,0.40432285482897345,4.7794271968682605,0.7556873310539337,15.418558873812438,3125361718.002496
Arm_A_36,Arm_A,36,0.3932910875488644,4.912465854014719,0.7645849837639931,15.701267878079355,3159733052.3104253
Arm_A_37,Arm_A,37,0.3816802601805792,4.725418176027282,0.7508058985686029,15.62305918981329,2942305609.0214677
Arm_A_38,Arm_A,38,0.3848220612645635,4.8762484372926025,0.768236784967245,14.317307750186952,2900452574.4332056
Arm_A_39,Arm_A,39,0.3928568905597172,4.817977566037454,0.7571344168145918,15.618770549411732,3045075291.9052935
Arm_A_40,Arm_A,40,0.37501102222615224,4.839752338917533,0.7667654512614982,15.364651438166533,3086597702.859733
Arm_A_41,Arm_A,41,0.3869354709969551,4.7181285140396225,0.7538526058827435,14.656322204157627,3439253462.24817
Arm_A_42,Arm_A,42,0.37829128694603653,4.96657200946906,0.7625582390357314,15.207784050148149,3005936877.8119893
Arm_A_43,Arm_A,43,0.3837217578971491,4.808544092883586,0.7610530678945445,14.589889712564792,3201414009.067991
Arm_A_44,Arm_A,44,0.3884194744032831,4.81581408177154,0.7489782269333364,14.94119604242213,3187266706.375034
Arm_A_45,Arm_A,45,0.3935661439949564,4.817185816191624,0.757984598375373,15.538888352543308,2988668738.466661
Arm_A_46,Arm_A,46,0.39880590290376544,4.744034077117978,0.7724922773510684,15.603262854571676,3211372738.511336
Arm_A_47,Arm_A,47,0.3917442072887525,4.936016886217983,0.7640521392665179,16.137396993524714,3147421224.497822
Arm_A_48,Arm_A,48,0.3930917916602622,4.775199536844915,0.7507555080770831,16.375581004235933,3009618547.1532283
Arm_A_49,Arm_A,49,0.3797992095127885,4.762537024062098,0.7452196814322731,15.511858794770498,3150939633.09105
Arm_A_50,Arm_A,50,0.38994386684612536,4.844628077427374,0.7604440296015388,14.244786357076409,3261372768.3300824
Arm_A_51,Arm_A,51,0.3974816456486051,4.758284013414569,0.7618323494486071,15.278376258556591,3068799294.2632327
Arm_A_52,Arm_A,52,0.39737853651713856,4.775446179037652,0.7550923628620113,15.375606358594537,3064448276.4679403
Arm_A_53,Arm_A,53,0.39378721250442217,4.815671166727003,0.7667208577441471,15.992002157367365,3038662859.9073625
Arm_A_54,Arm_A,54,0.4087016516962373,4.618931586062458,0.7530052837849998,15.457943132769728,3187271680.918007
Arm_A_55,Arm_A,55,0.39090735958445866,4.644710088076886,0.7546267444809744,15.429837383670362,2730832056.193029
Arm_A_56,Arm_A,56,0.39306529216183,4.77120968436042,0.7629925315048123,14.023579706346522,2684852745.121653
Arm_A_57,Arm_A,57,0.3962910391749485,4.65366334780776,0.7705875459601591,15.243571701225772,2956096650.540151
Arm_A_58,Arm_A,58,0.3840021202246521,4.917755402794671,0.7741199382851635,16.0791558173208,3114850115.7812667
Arm_A_59,Arm_A,59,0.3993836144089105,4.814784573131415,0.761657400991191,14.516163391431716,3034994814.0349455
Arm_A_60,Arm_A,60,0.3926240228280337,4.932023711312999,0.7546012715203909,13.373620069837909,2987766652.6481237
Arm_A_61,Arm_A,61,0.3910296044598672,4.730045222604618,0.7533404949372081,14.280280419281691,2930312058.9342575
Arm_A_62,Arm_A,62,0.3838484985261403,4.921158421665401,0.7516277517207379,15.911090214435706,2829768860.8932424
Arm_A_63,Arm_A,63,0.40593897731042816,4.79249588596898,0.7458129469242312,14.752973051682366,3223184469.1580496
Arm_A_64,Arm_A,64,0.39115774666795133,4.987308423482304,0.7490503031963611,13.247477945280096,3109984320.8574934
Arm_A_65,Arm_A,65,0.37711807489245325,4.7630191649495455,0.7645748641452225,15.957147521133018,3075325155.256678
Arm_A_66,Arm_A,66,0.39849856373908754,4.6859071110532815,0.7579628430925833,14.952291903270924,3222626316.2315726
Arm_A_67,Arm_A,67,0.3891910949977901,4.808788459215309,0.7671199445789337,14.810959851322407,2743728278.5102763
Arm_A_68,Arm_A,68,0.3887379678185252,4.817739168609789,0.7782729101873285,14.453813555319162,2944735259.2242656
